Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Guinea,0.5,0.6,0.8,1.1,1.3,1.5,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,http://aidsinfo.unaids.org/,,,
Guyana,,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,http://aidsinfo.unaids.org/,,,
Haiti,2.2,2.7,3.2,3.7,4.2,4.6,5,5.2,5.4,5.5,5.5,5.4,5.2,5,4.7,4.4,4,3.6,3.3,3,2.8,2.5,2.3,2,1.9,1.7,http://aidsinfo.unaids.org/,,,
Honduras,1.8,1.9,1.9,2,1.9,1.9,1.8,1.7,1.5,1.4,1.3,1.1,1,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,http://aidsinfo.unaids.org/,,,
India,<0.1,<0.1,<0.1,<0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
Indonesia,,,,,0.00167,0.00337,0.00626,0.0109,0.017,0.0243,0.035,0.0521,0.0793,0.115,0.153,0.192,0.228,0.264,0.298,0.333,0.368,0.393,0.419,0.442,0.46,0.486,http://aidsinfo.unaids.org/,PLHIV 15+/ Population 15-49,,
Iran (Islamic Republic of),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,http://aidsinfo.unaids.org/,,,
Italy,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,http://aidsinfo.unaids.org/,,,
Jamaica,0.9,1.2,1.5,1.7,1.9,2,2.1,2.2,2.2,2.3,2.2,2.2,2.2,2.1,2,2,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,http://aidsinfo.unaids.org/,,,
Kazakhstan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Kenya,6.4,8,9.5,10.9,11.9,12.6,12.8,12.7,12.2,11.6,10.7,9.9,9,8.3,7.6,7,6.6,6.4,6.2,6.1,6.1,6,6,6,6,5.9,http://aidsinfo.unaids.org/,,,
Kyrgyzstan,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Lao People's Democratic Republic,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,,http://data.worldbank.org/indicator/SH.DYN.AIDS.ZS,,,
Lebanon,,,,,,,,,,,,0.055658,0.058608,0.060988,0.063296,0.061129,0.064242,0.063236,0.066714,0.069399,0.070889,0.073959,0.081254,0.084573,0.091801,0.093713,http://aidsinfo.unaids.org/,PLHIV 15+/ Population 15-49,,
Lesotho,2.6,3.6,4.9,6.8,9,11.5,13.7,15.6,17.3,18.7,19.9,20.9,21.7,22.2,22.6,22.8,23,23.1,23.2,23.2,23.1,23.1,23,22.9,22.8,22.7,http://aidsinfo.unaids.org/,,,
Liberia,0.7,0.9,1.1,1.4,1.6,1.8,2,2.2,2.4,2.4,2.5,2.5,2.4,2.3,2.2,2.1,1.9,1.8,1.7,1.5,1.4,1.3,1.3,1.2,1.1,1.1,http://aidsinfo.unaids.org/,,,
Madagascar,<0.1,<0.1,<0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,http://aidsinfo.unaids.org/,,,
